task_id,study,theta,Omega_hat,omega,n_agents,omega_as_frac
gurcay2015_task_1_3718691.0,gurcay2015,1000000.0,0.6373999999999461,0.1,5,0.1
gurcay2015_task_1_3718691.0,gurcay2015,1000000.0,0.8556999999999221,0.1,20,0.1
gurcay2015_task_1_3718691.0,gurcay2015,1000000.0,0.893099999999918,0.1,35,0.1
gurcay2015_task_1_3718691.0,gurcay2015,1000000.0,0.9092999999999162,0.1,50,0.1
gurcay2015_task_1_3718691.0,gurcay2015,1000000.0,0.6181999999999482,0.3333333333333333,5,0.33
gurcay2015_task_1_3718691.0,gurcay2015,1000000.0,0.8516999999999225,0.3333333333333333,20,0.33
gurcay2015_task_1_3718691.0,gurcay2015,1000000.0,0.901699999999917,0.3333333333333333,35,0.33
gurcay2015_task_1_3718691.0,gurcay2015,1000000.0,0.9132999999999157,0.3333333333333333,50,0.33
gurcay2015_task_1_3718691.0,gurcay2015,1000000.0,0.5951999999999508,0.6666666666666666,5,0.66
gurcay2015_task_1_3718691.0,gurcay2015,1000000.0,0.8420999999999236,0.6666666666666666,20,0.66
gurcay2015_task_1_3718691.0,gurcay2015,1000000.0,0.8918999999999181,0.6666666666666666,35,0.66
gurcay2015_task_1_3718691.0,gurcay2015,1000000.0,0.911199999999916,0.6666666666666666,50,0.66
gurcay2015_task_1_3718691.0,gurcay2015,1000000.0,0.5541999999999553,1.0,5,1
gurcay2015_task_1_3718691.0,gurcay2015,1000000.0,0.8192999999999261,1.0,20,1
gurcay2015_task_1_3718691.0,gurcay2015,1000000.0,0.8918999999999181,1.0,35,1
gurcay2015_task_1_3718691.0,gurcay2015,1000000.0,0.9114999999999159,1.0,50,1
gurcay2015_task_2_39.52,gurcay2015,15.0,0.6610999999999435,0.1,5,0.1
gurcay2015_task_2_39.52,gurcay2015,15.0,0.7973999999999285,0.1,20,0.1
gurcay2015_task_2_39.52,gurcay2015,15.0,0.838499999999924,0.1,35,0.1
gurcay2015_task_2_39.52,gurcay2015,15.0,0.8494999999999228,0.1,50,0.1
gurcay2015_task_2_39.52,gurcay2015,15.0,0.6576999999999439,0.3333333333333333,5,0.33
gurcay2015_task_2_39.52,gurcay2015,15.0,0.8067999999999275,0.3333333333333333,20,0.33
gurcay2015_task_2_39.52,gurcay2015,15.0,0.8326999999999246,0.3333333333333333,35,0.33
gurcay2015_task_2_39.52,gurcay2015,15.0,0.8594999999999217,0.3333333333333333,50,0.33
gurcay2015_task_2_39.52,gurcay2015,15.0,0.6349999999999464,0.6666666666666666,5,0.66
gurcay2015_task_2_39.52,gurcay2015,15.0,0.7973999999999285,0.6666666666666666,20,0.66
gurcay2015_task_2_39.52,gurcay2015,15.0,0.8356999999999243,0.6666666666666666,35,0.66
gurcay2015_task_2_39.52,gurcay2015,15.0,0.856199999999922,0.6666666666666666,50,0.66
gurcay2015_task_2_39.52,gurcay2015,15.0,0.6330999999999466,1.0,5,1
gurcay2015_task_2_39.52,gurcay2015,15.0,0.7969999999999285,1.0,20,1
gurcay2015_task_2_39.52,gurcay2015,15.0,0.8412999999999237,1.0,35,1
gurcay2015_task_2_39.52,gurcay2015,15.0,0.8554999999999221,1.0,50,1
gurcay2015_task_3_2723.0,gurcay2015,1050.0,0.6429999999999455,0.1,5,0.1
gurcay2015_task_3_2723.0,gurcay2015,1050.0,0.8235999999999256,0.1,20,0.1
gurcay2015_task_3_2723.0,gurcay2015,1050.0,0.8735999999999201,0.1,35,0.1
gurcay2015_task_3_2723.0,gurcay2015,1050.0,0.892999999999918,0.1,50,0.1
gurcay2015_task_3_2723.0,gurcay2015,1050.0,0.6396999999999459,0.3333333333333333,5,0.33
gurcay2015_task_3_2723.0,gurcay2015,1050.0,0.8179999999999262,0.3333333333333333,20,0.33
gurcay2015_task_3_2723.0,gurcay2015,1050.0,0.8706999999999204,0.3333333333333333,35,0.33
gurcay2015_task_3_2723.0,gurcay2015,1050.0,0.8937999999999179,0.3333333333333333,50,0.33
gurcay2015_task_3_2723.0,gurcay2015,1050.0,0.6256999999999474,0.6666666666666666,5,0.66
gurcay2015_task_3_2723.0,gurcay2015,1050.0,0.8165999999999264,0.6666666666666666,20,0.66
gurcay2015_task_3_2723.0,gurcay2015,1050.0,0.8702999999999205,0.6666666666666666,35,0.66
gurcay2015_task_3_2723.0,gurcay2015,1050.0,0.8969999999999175,0.6666666666666666,50,0.66
gurcay2015_task_3_2723.0,gurcay2015,1050.0,0.6095999999999492,1.0,5,1
gurcay2015_task_3_2723.0,gurcay2015,1050.0,0.8183999999999262,1.0,20,1
gurcay2015_task_3_2723.0,gurcay2015,1050.0,0.865699999999921,1.0,35,1
gurcay2015_task_3_2723.0,gurcay2015,1050.0,0.8979999999999174,1.0,50,1
gurcay2015_task_4_7825200.0,gurcay2015,5000000.0,0.5547999999999552,0.1,5,0.1
gurcay2015_task_4_7825200.0,gurcay2015,5000000.0,0.7164999999999374,0.1,20,0.1
gurcay2015_task_4_7825200.0,gurcay2015,5000000.0,0.7702999999999315,0.1,35,0.1
gurcay2015_task_4_7825200.0,gurcay2015,5000000.0,0.8043999999999277,0.1,50,0.1
gurcay2015_task_4_7825200.0,gurcay2015,5000000.0,0.5133999999999598,0.3333333333333333,5,0.33
gurcay2015_task_4_7825200.0,gurcay2015,5000000.0,0.6706999999999425,0.3333333333333333,20,0.33
gurcay2015_task_4_7825200.0,gurcay2015,5000000.0,0.7499999999999337,0.3333333333333333,35,0.33
gurcay2015_task_4_7825200.0,gurcay2015,5000000.0,0.801499999999928,0.3333333333333333,50,0.33
gurcay2015_task_4_7825200.0,gurcay2015,5000000.0,0.4466999999999671,0.6666666666666666,5,0.66
gurcay2015_task_4_7825200.0,gurcay2015,5000000.0,0.6173999999999483,0.6666666666666666,20,0.66
gurcay2015_task_4_7825200.0,gurcay2015,5000000.0,0.702099999999939,0.6666666666666666,35,0.66
gurcay2015_task_4_7825200.0,gurcay2015,5000000.0,0.7605999999999326,0.6666666666666666,50,0.66
gurcay2015_task_4_7825200.0,gurcay2015,5000000.0,0.3969999999999726,1.0,5,1
gurcay2015_task_4_7825200.0,gurcay2015,5000000.0,0.5500999999999557,1.0,20,1
gurcay2015_task_4_7825200.0,gurcay2015,5000000.0,0.6261999999999474,1.0,35,1
gurcay2015_task_4_7825200.0,gurcay2015,5000000.0,0.6851999999999409,1.0,50,1
gurcay2015_task_5_24901.4611,gurcay2015,2048.0,0.7414999999999347,0.1,5,0.1
gurcay2015_task_5_24901.4611,gurcay2015,2048.0,0.9095999999999161,0.1,20,0.1
gurcay2015_task_5_24901.4611,gurcay2015,2048.0,0.9458999999999121,0.1,35,0.1
gurcay2015_task_5_24901.4611,gurcay2015,2048.0,0.9574999999999109,0.1,50,0.1
gurcay2015_task_5_24901.4611,gurcay2015,2048.0,0.7357999999999353,0.3333333333333333,5,0.33
gurcay2015_task_5_24901.4611,gurcay2015,2048.0,0.9073999999999164,0.3333333333333333,20,0.33
gurcay2015_task_5_24901.4611,gurcay2015,2048.0,0.9445999999999123,0.3333333333333333,35,0.33
gurcay2015_task_5_24901.4611,gurcay2015,2048.0,0.9581999999999108,0.3333333333333333,50,0.33
gurcay2015_task_5_24901.4611,gurcay2015,2048.0,0.7480999999999339,0.6666666666666666,5,0.66
gurcay2015_task_5_24901.4611,gurcay2015,2048.0,0.9093999999999162,0.6666666666666666,20,0.66
gurcay2015_task_5_24901.4611,gurcay2015,2048.0,0.9435999999999124,0.6666666666666666,35,0.66
gurcay2015_task_5_24901.4611,gurcay2015,2048.0,0.9588999999999107,0.6666666666666666,50,0.66
gurcay2015_task_5_24901.4611,gurcay2015,2048.0,0.7400999999999348,1.0,5,1
gurcay2015_task_5_24901.4611,gurcay2015,2048.0,0.910799999999916,1.0,20,1
gurcay2015_task_5_24901.4611,gurcay2015,2048.0,0.9391999999999129,1.0,35,1
gurcay2015_task_5_24901.4611,gurcay2015,2048.0,0.9595999999999106,1.0,50,1
gurcay2015_task_6_47184.0,gurcay2015,28000.0,0.5348999999999574,0.1,5,0.1
gurcay2015_task_6_47184.0,gurcay2015,28000.0,0.7301999999999359,0.1,20,0.1
gurcay2015_task_6_47184.0,gurcay2015,28000.0,0.829399999999925,0.1,35,0.1
gurcay2015_task_6_47184.0,gurcay2015,28000.0,0.8894999999999184,0.1,50,0.1
gurcay2015_task_6_47184.0,gurcay2015,28000.0,0.5010999999999611,0.3333333333333333,5,0.33
gurcay2015_task_6_47184.0,gurcay2015,28000.0,0.701699999999939,0.3333333333333333,20,0.33
gurcay2015_task_6_47184.0,gurcay2015,28000.0,0.8219999999999258,0.3333333333333333,35,0.33
gurcay2015_task_6_47184.0,gurcay2015,28000.0,0.8873999999999186,0.3333333333333333,50,0.33
gurcay2015_task_6_47184.0,gurcay2015,28000.0,0.4378999999999681,0.6666666666666666,5,0.66
gurcay2015_task_6_47184.0,gurcay2015,28000.0,0.6571999999999439,0.6666666666666666,20,0.66
gurcay2015_task_6_47184.0,gurcay2015,28000.0,0.8037999999999278,0.6666666666666666,35,0.66
gurcay2015_task_6_47184.0,gurcay2015,28000.0,0.8726999999999202,0.6666666666666666,50,0.66
gurcay2015_task_6_47184.0,gurcay2015,28000.0,0.3960999999999727,1.0,5,1
gurcay2015_task_6_47184.0,gurcay2015,28000.0,0.6337999999999465,1.0,20,1
gurcay2015_task_6_47184.0,gurcay2015,28000.0,0.7705999999999315,1.0,35,1
gurcay2015_task_6_47184.0,gurcay2015,28000.0,0.8618999999999214,1.0,50,1
gurcay2015_task_7_43.0,gurcay2015,50.0,0.5456999999999562,0.1,5,0.1
gurcay2015_task_7_43.0,gurcay2015,50.0,0.6632999999999433,0.1,20,0.1
gurcay2015_task_7_43.0,gurcay2015,50.0,0.7218999999999368,0.1,35,0.1
gurcay2015_task_7_43.0,gurcay2015,50.0,0.7496999999999338,0.1,50,0.1
gurcay2015_task_7_43.0,gurcay2015,50.0,0.5048999999999607,0.3333333333333333,5,0.33
gurcay2015_task_7_43.0,gurcay2015,50.0,0.6498999999999447,0.3333333333333333,20,0.33
gurcay2015_task_7_43.0,gurcay2015,50.0,0.7104999999999381,0.3333333333333333,35,0.33
gurcay2015_task_7_43.0,gurcay2015,50.0,0.7499999999999337,0.3333333333333333,50,0.33
gurcay2015_task_7_43.0,gurcay2015,50.0,0.4551999999999662,0.6666666666666666,5,0.66
gurcay2015_task_7_43.0,gurcay2015,50.0,0.6035999999999498,0.6666666666666666,20,0.66
gurcay2015_task_7_43.0,gurcay2015,50.0,0.6816999999999412,0.6666666666666666,35,0.66
gurcay2015_task_7_43.0,gurcay2015,50.0,0.7230999999999367,0.6666666666666666,50,0.66
gurcay2015_task_7_43.0,gurcay2015,50.0,0.3976999999999725,1.0,5,1
gurcay2015_task_7_43.0,gurcay2015,50.0,0.5573999999999549,1.0,20,1
gurcay2015_task_7_43.0,gurcay2015,50.0,0.6261999999999474,1.0,35,1
gurcay2015_task_7_43.0,gurcay2015,50.0,0.674499999999942,1.0,50,1
gurcay2015_task_8_236.0,gurcay2015,200.0,0.547199999999956,0.1,5,0.1
gurcay2015_task_8_236.0,gurcay2015,200.0,0.6438999999999454,0.1,20,0.1
gurcay2015_task_8_236.0,gurcay2015,200.0,0.6632999999999433,0.1,35,0.1
gurcay2015_task_8_236.0,gurcay2015,200.0,0.6864999999999407,0.1,50,0.1
gurcay2015_task_8_236.0,gurcay2015,200.0,0.4976999999999615,0.3333333333333333,5,0.33
gurcay2015_task_8_236.0,gurcay2015,200.0,0.593099999999951,0.3333333333333333,20,0.33
gurcay2015_task_8_236.0,gurcay2015,200.0,0.6419999999999456,0.3333333333333333,35,0.33
gurcay2015_task_8_236.0,gurcay2015,200.0,0.6622999999999434,0.3333333333333333,50,0.33
gurcay2015_task_8_236.0,gurcay2015,200.0,0.4423999999999676,0.6666666666666666,5,0.66
gurcay2015_task_8_236.0,gurcay2015,200.0,0.5147999999999596,0.6666666666666666,20,0.66
gurcay2015_task_8_236.0,gurcay2015,200.0,0.557099999999955,0.6666666666666666,35,0.66
gurcay2015_task_8_236.0,gurcay2015,200.0,0.6026999999999499,0.6666666666666666,50,0.66
gurcay2015_task_8_236.0,gurcay2015,200.0,0.3722999999999753,1.0,5,1
gurcay2015_task_8_236.0,gurcay2015,200.0,0.4369999999999682,1.0,20,1
gurcay2015_task_8_236.0,gurcay2015,200.0,0.46839999999996473,1.0,35,1
gurcay2015_task_8_236.0,gurcay2015,200.0,0.5066999999999605,1.0,50,1
gurcay2015_task_9_16.4,gurcay2015,20.0,0.5188999999999592,0.1,5,0.1
gurcay2015_task_9_16.4,gurcay2015,20.0,0.5279999999999582,0.1,20,0.1
gurcay2015_task_9_16.4,gurcay2015,20.0,0.5311999999999578,0.1,35,0.1
gurcay2015_task_9_16.4,gurcay2015,20.0,0.5259999999999584,0.1,50,0.1
gurcay2015_task_9_16.4,gurcay2015,20.0,0.5094999999999602,0.3333333333333333,5,0.33
gurcay2015_task_9_16.4,gurcay2015,20.0,0.5317999999999578,0.3333333333333333,20,0.33
gurcay2015_task_9_16.4,gurcay2015,20.0,0.5267999999999583,0.3333333333333333,35,0.33
gurcay2015_task_9_16.4,gurcay2015,20.0,0.520599999999959,0.3333333333333333,50,0.33
gurcay2015_task_9_16.4,gurcay2015,20.0,0.466099999999965,0.6666666666666666,5,0.66
gurcay2015_task_9_16.4,gurcay2015,20.0,0.4993999999999613,0.6666666666666666,20,0.66
gurcay2015_task_9_16.4,gurcay2015,20.0,0.5066999999999605,0.6666666666666666,35,0.66
gurcay2015_task_9_16.4,gurcay2015,20.0,0.5058999999999606,0.6666666666666666,50,0.66
gurcay2015_task_9_16.4,gurcay2015,20.0,0.43269999999996867,1.0,5,1
gurcay2015_task_9_16.4,gurcay2015,20.0,0.46379999999996524,1.0,20,1
gurcay2015_task_9_16.4,gurcay2015,20.0,0.46839999999996473,1.0,35,1
gurcay2015_task_9_16.4,gurcay2015,20.0,0.45829999999996585,1.0,50,1
gurcay2015_task_10_7.08,gurcay2015,20.0,0.4521999999999665,0.1,5,0.1
gurcay2015_task_10_7.08,gurcay2015,20.0,0.4459999999999672,0.1,20,0.1
gurcay2015_task_10_7.08,gurcay2015,20.0,0.44279999999996755,0.1,35,0.1
gurcay2015_task_10_7.08,gurcay2015,20.0,0.44359999999996746,0.1,50,0.1
gurcay2015_task_10_7.08,gurcay2015,20.0,0.4495999999999668,0.3333333333333333,5,0.33
gurcay2015_task_10_7.08,gurcay2015,20.0,0.4531999999999664,0.3333333333333333,20,0.33
gurcay2015_task_10_7.08,gurcay2015,20.0,0.44819999999996696,0.3333333333333333,35,0.33
gurcay2015_task_10_7.08,gurcay2015,20.0,0.44179999999996766,0.3333333333333333,50,0.33
gurcay2015_task_10_7.08,gurcay2015,20.0,0.43479999999996843,0.6666666666666666,5,0.66
gurcay2015_task_10_7.08,gurcay2015,20.0,0.44189999999996765,0.6666666666666666,20,0.66
gurcay2015_task_10_7.08,gurcay2015,20.0,0.43199999999996874,0.6666666666666666,35,0.66
gurcay2015_task_10_7.08,gurcay2015,20.0,0.44299999999996753,0.6666666666666666,50,0.66
gurcay2015_task_10_7.08,gurcay2015,20.0,0.4224999999999698,1.0,5,1
gurcay2015_task_10_7.08,gurcay2015,20.0,0.42479999999996954,1.0,20,1
gurcay2015_task_10_7.08,gurcay2015,20.0,0.41279999999997086,1.0,35,1
gurcay2015_task_10_7.08,gurcay2015,20.0,0.42109999999996994,1.0,50,1
gurcay2015_task_11_2.7,gurcay2015,5.0,0.47739999999996374,0.1,5,0.1
gurcay2015_task_11_2.7,gurcay2015,5.0,0.5082999999999603,0.1,20,0.1
gurcay2015_task_11_2.7,gurcay2015,5.0,0.5376999999999571,0.1,35,0.1
gurcay2015_task_11_2.7,gurcay2015,5.0,0.5550999999999552,0.1,50,0.1
gurcay2015_task_11_2.7,gurcay2015,5.0,0.42359999999996967,0.3333333333333333,5,0.33
gurcay2015_task_11_2.7,gurcay2015,5.0,0.4249999999999695,0.3333333333333333,20,0.33
gurcay2015_task_11_2.7,gurcay2015,5.0,0.4357999999999683,0.3333333333333333,35,0.33
gurcay2015_task_11_2.7,gurcay2015,5.0,0.44289999999996754,0.3333333333333333,50,0.33
gurcay2015_task_11_2.7,gurcay2015,5.0,0.3460999999999782,0.6666666666666666,5,0.66
gurcay2015_task_11_2.7,gurcay2015,5.0,0.31399999999998174,0.6666666666666666,20,0.66
gurcay2015_task_11_2.7,gurcay2015,5.0,0.31279999999998187,0.6666666666666666,35,0.66
gurcay2015_task_11_2.7,gurcay2015,5.0,0.3250999999999805,0.6666666666666666,50,0.66
gurcay2015_task_11_2.7,gurcay2015,5.0,0.26409999999998723,1.0,5,1
gurcay2015_task_11_2.7,gurcay2015,5.0,0.22839999999999117,1.0,20,1
gurcay2015_task_11_2.7,gurcay2015,5.0,0.2272999999999913,1.0,35,1
gurcay2015_task_11_2.7,gurcay2015,5.0,0.2279999999999912,1.0,50,1
gurcay2015_task_12_49.5,gurcay2015,35.0,0.4333999999999686,0.1,5,0.1
gurcay2015_task_12_49.5,gurcay2015,35.0,0.40669999999997153,0.1,20,0.1
gurcay2015_task_12_49.5,gurcay2015,35.0,0.41029999999997113,0.1,35,0.1
gurcay2015_task_12_49.5,gurcay2015,35.0,0.4061999999999716,0.1,50,0.1
gurcay2015_task_12_49.5,gurcay2015,35.0,0.42539999999996947,0.3333333333333333,5,0.33
gurcay2015_task_12_49.5,gurcay2015,35.0,0.4125999999999709,0.3333333333333333,20,0.33
gurcay2015_task_12_49.5,gurcay2015,35.0,0.411499999999971,0.3333333333333333,35,0.33
gurcay2015_task_12_49.5,gurcay2015,35.0,0.4033999999999719,0.3333333333333333,50,0.33
gurcay2015_task_12_49.5,gurcay2015,35.0,0.4141999999999707,0.6666666666666666,5,0.66
gurcay2015_task_12_49.5,gurcay2015,35.0,0.40369999999997186,0.6666666666666666,20,0.66
gurcay2015_task_12_49.5,gurcay2015,35.0,0.3949999999999728,0.6666666666666666,35,0.66
gurcay2015_task_12_49.5,gurcay2015,35.0,0.38929999999997345,0.6666666666666666,50,0.66
gurcay2015_task_12_49.5,gurcay2015,35.0,0.3807999999999744,1.0,5,1
gurcay2015_task_12_49.5,gurcay2015,35.0,0.36219999999997643,1.0,20,1
gurcay2015_task_12_49.5,gurcay2015,35.0,0.3704999999999755,1.0,35,1
gurcay2015_task_12_49.5,gurcay2015,35.0,0.3678999999999758,1.0,50,1
gurcay2015_task_13_24.9,gurcay2015,9.0,0.5561999999999551,0.1,5,0.1
gurcay2015_task_13_24.9,gurcay2015,9.0,0.5811999999999523,0.1,20,0.1
gurcay2015_task_13_24.9,gurcay2015,9.0,0.583999999999952,0.1,35,0.1
gurcay2015_task_13_24.9,gurcay2015,9.0,0.5826999999999521,0.1,50,0.1
gurcay2015_task_13_24.9,gurcay2015,9.0,0.5552999999999552,0.3333333333333333,5,0.33
gurcay2015_task_13_24.9,gurcay2015,9.0,0.5754999999999529,0.3333333333333333,20,0.33
gurcay2015_task_13_24.9,gurcay2015,9.0,0.5832999999999521,0.3333333333333333,35,0.33
gurcay2015_task_13_24.9,gurcay2015,9.0,0.5775999999999527,0.3333333333333333,50,0.33
gurcay2015_task_13_24.9,gurcay2015,9.0,0.5626999999999543,0.6666666666666666,5,0.66
gurcay2015_task_13_24.9,gurcay2015,9.0,0.5819999999999522,0.6666666666666666,20,0.66
